tag_key,tag_value,category,groups,priority,created_date,modified_date,usage_count,last_used,export_version,shortcode_patterns
company_name,Acme Corporation,general,Branding,10,2024-01-15 10:30:00,2024-01-15 10:30:00,45,2024-03-20 14:25:00,2.0,[branding_company_name]
company_email,contact@acmecorp.com,general,Contact Info,10,2024-01-15 10:35:00,2024-02-10 14:20:00,32,2024-03-18 09:15:00,2.0,[contact_info_company_email]
company_phone,+1 (555) 123-4567,general,Contact Info,10,2024-01-15 10:40:00,2024-01-15 10:40:00,28,2024-03-19 16:42:00,2.0,[contact_info_company_phone]
site_tagline,Your Trusted Partner in Innovation,general,Branding;Marketing,8,2024-01-15 11:00:00,2024-03-05 16:45:00,67,2024-03-20 11:30:00,2.0,[branding_site_tagline]
office_address,"123 Business St, Suite 100, New York, NY 10001",general,Contact Info,10,2024-01-15 11:30:00,2024-02-20 10:00:00,41,2024-03-17 13:20:00,2.0,[contact_info_office_address]
support_hours,Monday - Friday: 9 AM - 5 PM EST,general,,7,2024-01-15 12:00:00,2024-01-15 12:00:00,23,2024-03-15 10:45:00,2.0,[support_hours]
facebook_url,https://facebook.com/acmecorp,general,Social Media,5,2024-01-15 11:15:00,2024-01-15 11:15:00,18,2024-03-12 14:30:00,2.0,[social_media_facebook_url]
twitter_url,https://twitter.com/acmecorp,general,Social Media,5,2024-01-15 11:20:00,2024-01-15 11:20:00,15,2024-03-14 09:20:00,2.0,[social_media_twitter_url]
linkedin_url,https://linkedin.com/company/acmecorp,general,Social Media,5,2024-01-15 11:25:00,2024-01-15 11:25:00,12,2024-03-10 16:15:00,2.0,[social_media_linkedin_url]
instagram_url,https://instagram.com/acmecorp,general,Social Media,5,2024-01-15 11:28:00,2024-01-15 11:28:00,8,2024-03-08 11:50:00,2.0,[social_media_instagram_url]
copyright_text,© 2024 Acme Corporation. All rights reserved.,general,,5,2024-01-15 11:45:00,2024-01-15 11:45:00,89,2024-03-20 15:10:00,2.0,[copyright_text]
promo_banner,Get 20% off your first order! Use code: WELCOME20,general,Promotions;Marketing,9,2024-01-20 09:00:00,2024-03-01 11:30:00,124,2024-03-20 16:22:00,2.0,[promotions_promo_banner]
summer_sale,Save big this summer! Up to 50% off selected items.,general,Promotions;Seasonal,8,2024-01-22 14:20:00,2024-03-10 09:15:00,73,2024-03-19 12:40:00,2.0,[promotions_summer_sale]
welcome_message,"Welcome to our website! We're glad you're here.",general,Messages;Marketing,6,2024-01-18 10:00:00,2024-02-15 13:30:00,56,2024-03-18 14:05:00,2.0,[messages_welcome_message]
customer_testimonial,"This company has been amazing to work with. Highly recommended!",general,Testimonials;Marketing,7,2024-01-25 15:45:00,2024-02-28 16:20:00,34,2024-03-16 10:30:00,2.0,[testimonials_customer_testimonial]
shipping_info,Free shipping on orders over $50!,general,Ecommerce;Promotions,8,2024-01-28 11:10:00,2024-03-05 14:25:00,62,2024-03-20 13:55:00,2.0,[ecommerce_shipping_info]
return_policy,30-day money-back guarantee on all purchases.,general,Ecommerce;Legal,7,2024-01-30 09:30:00,2024-02-22 11:45:00,29,2024-03-17 15:20:00,2.0,[ecommerce_return_policy]
privacy_policy_url,https://acmecorp.com/privacy,general,Legal,5,2024-01-16 14:00:00,2024-01-16 14:00:00,19,2024-03-11 09:40:00,2.0,[legal_privacy_policy_url]
terms_url,https://acmecorp.com/terms,general,Legal,5,2024-01-16 14:05:00,2024-01-16 14:05:00,17,2024-03-11 09:42:00,2.0,[legal_terms_url]
newsletter_cta,Subscribe to our newsletter for exclusive deals and updates!,general,Marketing;CTAs,8,2024-02-01 10:20:00,2024-03-08 15:10:00,95,2024-03-20 11:15:00,2.0,[marketing_newsletter_cta]
